Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Baix Llobregat,N,CCFI,11,15,Cornellà de Llobregat,'15,83808
Barcelonès,N,FPOS,13,20354,Barcelona,'15,7006245.13
Baix Llobregat,S,XIMP,11,1,Castelldefels,'15,32000
Vallès Oriental,S,XIMP,41,2,Granollers,'15,62829.32
Vallès Occidental,N,PRMI,40,55,Terrassa,'15,454989.48000000004
Vallès Occidental,N,PRMI,40,7,Castellar del Vallès,'15,55920.06
Vallès Oriental,N,FOQ,41,15,Montornès del Vallès,'15,30495
Baix Llobregat,S,SUMA,11,40,Cornellà de Llobregat,'15,181600
Vallès Occidental,S,SUMA,40,17,Rubí,'15,48493.689999999995
Barcelonès,S,SUMA,13,8,Sant Adrià de Besòs,'15,33920
Vallès Oriental,S,ARIF,41,150,Mollet del Vallès,'15,74800
Baix Llobregat,N,AODL,11,1,Vallirana,'15,27045.55
Vallès Oriental,S,PIGJ,41,15,Montornès del Vallès,'15,51075.05
Barcelonès,N,APRE,13,75,Barcelona,'15,109062.07
Baix Llobregat,S,PSGJ,11,116,Sant Feliu de Llobregat,'15,232019.78
Baix Llobregat,S,XIMP,11,1,Gavà,'15,32000
Vallès Occidental,N,FOQ,40,1396,Terrassa,'15,2857145.82
Vallès Occidental,N,FPOS,40,344,Barberà del Vallès,'15,191634.46
Vallès Occidental,N,AODL,40,4,Santa Perpètua de Mogoda,'15,108182.2
Barcelonès,N,FVIA,13,1047,Barcelona,'15,97470
Vallès Occidental,N,TRFO,40,5,Palau-solità i Plegamans,'15,37054.5
Baix Llobregat,S,SUMA,11,110,Sant Feliu de Llobregat,'15,458570
Vallès Oriental,N,TB,41,114,Granollers,'15,243107.22
Barcelonès,N,PRMI,13,83,Barcelona,'15,686975.16
Vallès Oriental,S,SUMA,41,1,Lliçà de Vall,'15,2918.7
Vallès Oriental,N,TB,41,8,Canovelles,'15,110999.76
Barcelonès,S,ARIF,13,600,Barcelona,'15,299200
Vallès Oriental,N,SAC,41,420,Granollers,'15,185623.2
Baix Llobregat,N,PRMI,11,25,Sant Boi de Llobregat,'15,202617
Vallès Oriental,N,IPIS,41,400,Mollet del Vallès,'15,132084.18
Baix Llobregat,S,ARIF,11,150,Cornellà de Llobregat,'15,74800
Vallès Oriental,N,AODL,41,1,Sant Celoni,'15,27045.55
Vallès Oriental,N,AODL,41,1,Cardedeu,'15,25143.920000000002
Barcelonès,N,ARIF,13,150,Santa Coloma de Gramenet,'15,74800
Barcelonès,N,FPOT,13,29667,Barcelona,'15,8918161.07
Vallès Occidental,S,FEM,40,15,Cerdanyola del Vallès,'15,66000
Vallès Occidental,N,PRMI,40,9,Montcada i Reixac,'15,71897.76
Vallès Occidental,N,FOQ,40,105,Montcada i Reixac,'15,131784
Barcelonès,S,FEM,13,40,Santa Coloma de Gramenet,'15,176000
Vallès Occidental,S,XIMP,40,2,Terrassa,'15,64000
Baix Llobregat,S,SUMA,11,55,"Prat de Llobregat, el",'15,249790
Barcelonès,N,TB,13,2296,Barcelona,'15,3838596.9899999998
Vallès Occidental,N,PRMI,40,5,Sant Cugat del Vallès,'15,39943.2
Vallès Occidental,N,APRE,40,35,Sabadell,'15,6260.26
Barcelonès,N,CC,13,10,"Hospitalet de Llobregat, l'",'15,27564
Baix Llobregat,S,TICI,11,23,Sant Feliu de Llobregat,'15,16496.480000000003
Baix Llobregat,N,AODL,11,2,Sant Vicenç dels Horts,'15,54091.1
Vallès Occidental,N,CIF,40,547,Sabadell,'15,675033.76
Vallès Oriental,S,FEM,41,40,Mollet del Vallès,'15,176000
Vallès Occidental,N,FPOT,40,1218,Terrassa,'15,410293.1
Baix Llobregat,N,FVIA,11,264,Cornellà de Llobregat,'15,25020
Vallès Oriental,S,SUMA,41,45,Granollers,'15,202050
Vallès Oriental,N,FPOT,41,166,Mollet del Vallès,'15,39840.28999999999
Vallès Oriental,N,FPOT,41,141,Granollers,'15,39609.06
Barcelonès,N,TB,13,10,Sant Adrià de Besòs,'15,111583.86
Baix Llobregat,N,AODL,11,1,Castelldefels,'15,27045.55
Baix Llobregat,S,SUMA,11,3,Sant Feliu de Llobregat,'15,9729
Vallès Occidental,S,TICI,40,80,Castellar del Vallès,'15,47770.5
Vallès Occidental,N,FPOS,40,440,Terrassa,'15,184488.44
Vallès Occidental,N,TRFO,40,69,Sabadell,'15,609370.56
Vallès Occidental,N,FOQ,40,60,Santa Perpètua de Mogoda,'15,189621
Baix Llobregat,N,TB,11,16,"Prat de Llobregat, el",'15,131185.91999999998
Baix Llobregat,N,DAM,11,15,Viladecans,'15,35028
Barcelonès,N,CIF,13,412,Santa Coloma de Gramenet,'15,570725.99
Vallès Occidental,N,AODL,40,1,Barberà del Vallès,'15,24746.12
Barcelonès,N,CIF,13,768,"Hospitalet de Llobregat, l'",'15,467555.49000000005
Baix Llobregat,S,TICI,11,46,Castelldefels,'15,32713.35
Vallès Occidental,S,FEM,40,30,Rubí,'15,132000
Vallès Oriental,N,IPIS,41,800,Granollers,'15,264168.36
Barcelonès,N,PRMI,13,20,Santa Coloma de Gramenet,'15,143029.91999999998
Vallès Oriental,N,FI45,41,1,Caldes de Montbui,'15,2357.57
Vallès Occidental,N,IPIS,40,800,Terrassa,'15,264168.36
Vallès Oriental,S,SUMA,41,2,Santa Maria de Palautordera,'15,7783.2
Baix Llobregat,N,TB,11,9,Gavà,'15,94007.78
Vallès Oriental,N,FOQ,41,15,Sant Fost de Campsentelles,'15,29502
Vallès Occidental,N,PRMI,40,13,Rubí,'15,105655.2
Vallès Oriental,N,TRFO,41,4,"Garriga, la",'15,35916.48
Barcelonès,N,SAC,13,410,Badalona,'15,181203.6
Barcelonès,N,IPIS,13,400,Santa Coloma de Gramenet,'15,132084.18
Barcelonès,S,SUMA,13,60,"Hospitalet de Llobregat, l'",'15,269790
Vallès Occidental,S,FEM,40,80,Terrassa,'15,352000
Baix Llobregat,N,FOQ,11,90,Esplugues de Llobregat,'15,204186
Barcelonès,N,APRE,13,85,"Hospitalet de Llobregat, l'",'15,15650.65
Vallès Oriental,N,SAC,41,55,Parets del Vallès,'15,24307.8
Barcelonès,N,DAM,13,105,Santa Coloma de Gramenet,'15,403770
Baix Llobregat,S,SUMA,11,8,Sant Joan Despí,'15,25781.85
Baix Llobregat,N,SAC,11,40,Martorell,'15,17678.4
Barcelonès,N,AODL,13,1,Barcelona,'15,27045.55
Vallès Oriental,N,AODL,41,3,Granollers,'15,81136.65000000001
Vallès Occidental,S,SUMA,40,18,Montcada i Reixac,'15,67326
Vallès Occidental,S,PIGJ,40,215,Terrassa,'15,999680.8600000001
Baix Llobregat,N,TB,11,159,Olesa de Montserrat,'15,101126.55
Baix Llobregat,N,TRFO,11,12,Esplugues de Llobregat,'15,102208.73999999999
Vallès Oriental,S,XIMP,41,1,Mollet del Vallès,'15,28944.960000000003
Barcelonès,N,FPOT,13,1118,Badalona,'15,454354.59
Barcelonès,S,SUMA,13,103,Barcelona,'15,305269
Barcelonès,N,PRMI,13,41,Badalona,'15,293262.06
Vallès Occidental,S,SUMA,40,5,Montcada i Reixac,'15,12647.7
Vallès Occidental,S,TICI,40,37,Badia del Vallès,'15,26910.7
Vallès Occidental,S,FEM,40,80,Sabadell,'15,352000
Vallès Occidental,S,SUMA,40,20,Barberà del Vallès,'15,90800
Baix Llobregat,N,FOQ,11,240,Gavà,'15,443568
Baix Llobregat,S,FEM,11,20,Viladecans,'15,88000
Baix Llobregat,N,AODL,11,1,Pallejà,'15,24945.960000000003
Vallès Occidental,N,FI45,40,1,Sant Cugat del Vallès,'15,6000
Baix Llobregat,S,SUMA,11,80,Sant Boi de Llobregat,'15,356525
Barcelonès,S,PFI,13,276,Barcelona,'15,909860
Vallès Occidental,N,TRFO,40,10,Castellar del Vallès,'15,87024
Baix Llobregat,S,PIGJ,11,180,"Prat de Llobregat, el",'15,769197.12
Vallès Occidental,N,AODL,40,9,Terrassa,'15,243409.94999999998
Barcelonès,N,FOQ,13,5155,Barcelona,'15,11831137.32
Baix Llobregat,N,TRFO,11,28,Sant Boi de Llobregat,'15,251248.81
Barcelonès,S,NOGJ,13,270,Barcelona,'15,3193750
Barcelonès,S,TICI,13,45,Santa Coloma de Gramenet,'15,43311.94
Baix Llobregat,N,SAC,11,75,Sant Andreu de la Barca,'15,33147
Vallès Occidental,N,FPOT,40,67,Sabadell,'15,18783.12
Barcelonès,N,IPIS,13,800,"Hospitalet de Llobregat, l'",'15,264168.35
Baix Llobregat,N,FOQ,11,210,Viladecans,'15,428679
Vallès Occidental,S,SUMA,40,60,Rubí,'15,273480
Baix Llobregat,N,AODL,11,3,Viladecans,'15,81136.65000000001
Barcelonès,S,PIGJ,13,938,Barcelona,'15,4759612.6
Vallès Occidental,N,SAC,40,840,Sabadell,'15,383398.4
Baix Llobregat,S,XIMP,11,1,"Prat de Llobregat, el",'15,32000
Barcelonès,N,FOQ,13,645,Santa Coloma de Gramenet,'15,1441876.5
Barcelonès,N,SAC,13,450,Sant Adrià de Besòs,'15,198882
Barcelonès,N,ARIF,13,750,Barcelona,'15,374000
Baix Llobregat,N,AODL,11,4,Cornellà de Llobregat,'15,104006.92
Vallès Occidental,N,AODL,40,1,Cerdanyola del Vallès,'15,27045.55
Vallès Occidental,N,FPOT,40,29,Barberà del Vallès,'15,6724.18
Vallès Oriental,S,SUMA,41,2,Montornès del Vallès,'15,6680.58
Vallès Occidental,S,SUMA,40,1,Ripollet,'15,2918.7
Baix Llobregat,N,AODL,11,2,Gavà,'15,54091.1
Vallès Occidental,N,AODL,40,3,Sant Cugat del Vallès,'15,81136.65000000001
Baix Llobregat,N,FOQ,11,120,Molins de Rei,'15,167313
Barcelonès,N,FI45,13,1,Badalona,'15,4778.29
Vallès Occidental,N,ARIF,40,150,Cerdanyola del Vallès,'15,74800
Baix Llobregat,N,TRFO,11,7,Molins de Rei,'15,60480
Barcelonès,S,PIGJ,13,40,Santa Coloma de Gramenet,'15,149152.5
Baix Llobregat,N,IPIS,11,1000,Cornellà de Llobregat,'15,330210.45
Baix Llobregat,S,XIMP,11,2,Sant Feliu de Llobregat,'15,64000
Vallès Occidental,N,SAC,40,388,Rubí,'15,171259.5
Baix Llobregat,N,PRMI,11,7,Sant Andreu de la Barca,'15,55920.06
Baix Llobregat,N,AODL,11,1,Esplugues de Llobregat,'15,27045.55
Vallès Oriental,S,PSGJ,41,15,Mollet del Vallès,'15,32154.260000000002
Baix Llobregat,N,ARIF,11,150,Cornellà de Llobregat,'15,74800
Barcelonès,S,FEM,13,376,Barcelona,'15,1654400
Vallès Oriental,S,TICI,41,13,Mollet del Vallès,'15,9314.62
Vallès Oriental,S,PFI,41,16,"Garriga, la",'15,41537
Baix Llobregat,N,TB,11,229,Cornellà de Llobregat,'15,139276.65
Baix Llobregat,N,FOQ,11,423,Castelldefels,'15,1193028.6
Vallès Occidental,N,PRMI,40,12,Cerdanyola del Vallès,'15,95863.68000000001
Barcelonès,N,IPIS,13,200,Sant Adrià de Besòs,'15,66042.09
Baix Llobregat,N,PRMI,11,16,Cornellà de Llobregat,'15,127338.23999999999
Vallès Oriental,N,TB,41,24,"Franqueses del Vallès, les",'15,188337.84
Vallès Occidental,N,ARIF,40,150,Terrassa,'15,74800
Baix Llobregat,S,SUMA,11,9,Cornellà de Llobregat,'15,28413
Vallès Oriental,N,TRFO,41,5,Sant Celoni,'15,43702.32
Barcelonès,N,SAC,13,3659,Barcelona,'15,1658743.8
Vallès Occidental,N,TRFO,40,8,Santa Perpètua de Mogoda,'15,69120
Baix Llobregat,N,IPIS,11,200,Martorell,'15,66042.09
Vallès Oriental,N,TB,41,5,Caldes de Montbui,'15,66972.73
Vallès Oriental,N,PRMI,41,1,Granollers,'15,7979.7
Barcelonès,S,PFI,13,16,Santa Coloma de Gramenet,'15,60491
Vallès Occidental,S,ARIF,40,150,Sabadell,'15,74800
Vallès Occidental,N,AODL,40,1,Sant Quirze del Vallès,'15,27045.55
Baix Llobregat,N,ARIF,11,150,Olesa de Montserrat,'15,74800
Vallès Oriental,N,AODL,41,1,"Franqueses del Vallès, les",'15,24634.18
Vallès Occidental,N,TRFO,40,98,Terrassa,'15,881186.53
Vallès Occidental,N,PRMI,40,10,Badia del Vallès,'15,81046.2
Baix Llobregat,N,CIF,11,437,Sant Feliu de Llobregat,'15,545935.43
Vallès Oriental,N,FOQ,41,60,Sant Celoni,'15,121243.5
Vallès Occidental,N,PRMI,40,1,Badia del Vallès,'15,7988.64
Barcelonès,S,SUMA,13,3,"Hospitalet de Llobregat, l'",'15,11188.349999999999
Baix Llobregat,N,AODL,11,2,Molins de Rei,'15,54091.1
Barcelonès,S,ARIF,13,150,Badalona,'15,74800
Baix Llobregat,N,TB,11,85,Castelldefels,'15,372895.61
Vallès Oriental,S,SUMA,41,80,Mollet del Vallès,'15,370400
Vallès Occidental,N,PRMI,40,9,Santa Perpètua de Mogoda,'15,74332.08
Barcelonès,N,FVIA,13,30,"Hospitalet de Llobregat, l'",'15,1800
Baix Llobregat,S,TICI,11,61,Martorell,'15,78362.03
Baix Llobregat,S,SUMA,11,1,Pallejà,'15,3891.6
Barcelonès,N,TRFO,13,253,Barcelona,'15,2262973.68
Baix Llobregat,N,FOQ,11,240,Cornellà de Llobregat,'15,618715.5
Vallès Oriental,N,TRFO,41,7,Montornès del Vallès,'15,60750.48
Baix Llobregat,N,PRMI,11,12,Viladecans,'15,95503.68000000001
Baix Llobregat,N,TRFO,11,20,"Prat de Llobregat, el",'15,177835.36
Vallès Occidental,S,XIMP,40,1,Sabadell,'15,31876.32
Vallès Oriental,S,SUMA,41,9,"Llagosta, la",'15,34051.5
Barcelonès,N,APRE,13,85,Badalona,'15,15650.65
Baix Llobregat,N,AODL,11,1,Martorell,'15,27045.55
Vallès Occidental,S,SUMA,40,10,Sabadell,'15,34051.5
Vallès Oriental,N,FI45,41,1,Martorelles,'15,17000
Vallès Occidental,S,SUMA,40,5,Sant Cugat del Vallès,'15,12647.7
Baix Llobregat,N,PRMI,11,10,Olesa de Montserrat,'15,79886.4
Baix Llobregat,S,SUMA,11,5,"Prat de Llobregat, el",'15,17901.36
Vallès Occidental,S,XIMP,40,1,Cerdanyola del Vallès,'15,32000
Baix Llobregat,N,PIN,11,50,Castelldefels,'15,37341.46
Vallès Occidental,N,FPOT,40,197,Cerdanyola del Vallès,'15,52915.28
Barcelonès,N,PNL,13,8,Barcelona,'15,29342.22
Barcelonès,N,ARIF,13,150,"Hospitalet de Llobregat, l'",'15,74800
Baix Llobregat,N,DAM,11,75,Castelldefels,'15,244050
Vallès Oriental,N,AODL,41,5,Mollet del Vallès,'15,129615.07
Vallès Oriental,S,SUMA,41,1,Montmeló,'15,3891.6
Baix Llobregat,S,PFI,11,10,Viladecans,'15,43618
Vallès Occidental,N,DAM,40,15,Terrassa,'15,43695
Baix Llobregat,N,TRFO,11,7,Esparreguera,'15,61377.9
Barcelonès,S,XIMP,13,2,"Hospitalet de Llobregat, l'",'15,60808.32
Baix Llobregat,N,TB,11,148,Sant Joan Despí,'15,260618.05
Barcelonès,N,DAM,13,210,Barcelona,'15,547378.5
Vallès Occidental,N,TRFO,40,16,Sant Cugat del Vallès,'15,151468.3
Baix Llobregat,N,TRFO,11,8,Sant Andreu de la Barca,'15,69428.64
Vallès Occidental,N,SAC,40,125,Sant Cugat del Vallès,'15,55245
Vallès Oriental,N,CC,41,15,Mollet del Vallès,'15,53730
Baix Llobregat,N,SAC,11,55,Viladecans,'15,24307.8
Baix Llobregat,S,XIMP,11,1,Esplugues de Llobregat,'15,32000
Vallès Oriental,N,AODL,41,1,Santa Eulàlia de Ronçana,'15,23544.02
Barcelonès,N,FOQ,13,1245,"Hospitalet de Llobregat, l'",'15,3020005.5
Barcelonès,N,CIF,13,586,Barcelona,'15,392185.99000000005
Barcelonès,S,FEM,13,30,Badalona,'15,132000
Baix Llobregat,S,PSGJ,11,20,Sant Boi de Llobregat,'15,127293.43999999999
Baix Llobregat,S,FEM,11,20,Sant Feliu de Llobregat,'15,88000
Vallès Occidental,N,ARIF,40,150,Montcada i Reixac,'15,74800
Barcelonès,N,AODL,13,8,"Hospitalet de Llobregat, l'",'15,216364.4
Vallès Occidental,S,TICI,40,153,Terrassa,'15,145436.09
Vallès Oriental,N,AODL,41,1,Parets del Vallès,'15,26102.3
Vallès Occidental,N,PIN,40,210,Terrassa,'15,215915.1
Baix Llobregat,N,TRFO,11,10,Martorell,'15,86837.22
Vallès Occidental,N,FOQ,40,150,Sant Cugat del Vallès,'15,368781
Baix Llobregat,N,AODL,11,2,"Prat de Llobregat, el",'15,53838.09
Barcelonès,N,TB,13,685,Badalona,'15,499770.63999999996
Vallès Oriental,S,FEM,41,30,Granollers,'15,132000
Vallès Occidental,N,SAC,40,27,Montcada i Reixac,'15,12153.9
Baix Llobregat,N,TB,11,203,Sant Boi de Llobregat,'15,729313.06
Vallès Occidental,N,FPOT,40,34,Badia del Vallès,'15,20132.66
Baix Llobregat,N,TB,11,65,Viladecans,'15,579318.48
Vallès Occidental,S,PFI,40,16,Barberà del Vallès,'15,35618
Vallès Oriental,S,PFI,41,32,Granollers,'15,102040
Vallès Oriental,S,PFI,41,16,"Franqueses del Vallès, les",'15,53144
Vallès Occidental,S,PSGJ,40,90,Sant Cugat del Vallès,'15,196312
Baix Llobregat,N,PRMI,11,9,Sant Vicenç dels Horts,'15,71762.76
Vallès Occidental,N,TRFO,40,5,Sant Quirze del Vallès,'15,37751.4
Vallès Oriental,N,CCFI,41,15,Martorelles,'15,43438.5
Baix Llobregat,S,SUMA,11,5,Viladecans,'15,9339.84
Baix Llobregat,N,FOQ,11,15,Sant Esteve Sesrovires,'15,43203
Barcelonès,S,SUMA,13,7,Badalona,'15,21836.2
Vallès Oriental,N,SAC,41,255,Mollet del Vallès,'15,112699.8
Baix Llobregat,S,ARIF,11,150,Viladecans,'15,74800
Vallès Occidental,N,APRE,40,40,Sant Cugat del Vallès,'15,6260.26
Barcelonès,N,IPIS,13,3400,Barcelona,'15,1122715.53
Vallès Occidental,N,FI45,40,1,Castellar del Vallès,'15,6000
Baix Llobregat,N,IPIS,11,400,Sant Vicenç dels Horts,'15,132084.18
Baix Llobregat,S,TICI,11,63,Cornellà de Llobregat,'15,58441.810000000005
Barcelonès,S,PSGJ,13,2545,Barcelona,'15,3739467.07
Vallès Occidental,N,AODL,40,9,Sabadell,'15,243409.94999999998
Baix Llobregat,N,FPOT,11,153,Sant Boi de Llobregat,'15,35756.58
Baix Llobregat,S,PIGJ,11,30,Esparreguera,'15,195195.68
Vallès Occidental,N,IPIS,40,400,Rubí,'15,132084.18
Vallès Occidental,S,ARIF,40,300,Terrassa,'15,149600
Barcelonès,S,SUMA,13,100,Santa Coloma de Gramenet,'15,361900
Vallès Oriental,N,FVIA,41,210,Granollers,'15,18000
Vallès Oriental,N,TRFO,41,21,Mollet del Vallès,'15,185547.27000000002
Vallès Occidental,N,PRMI,40,14,Sant Cugat del Vallès,'15,114417.48
Vallès Occidental,N,PRMI,40,7,Barberà del Vallès,'15,56976.18
Baix Llobregat,N,PRMI,11,8,Esplugues de Llobregat,'15,64918.2
Vallès Oriental,N,ARIF,41,150,Granollers,'15,74800
Vallès Oriental,N,FPOS,41,111,Mollet del Vallès,'15,66456.18000000001
Barcelonès,N,FPOS,13,342,Badalona,'15,80147.19
Baix Llobregat,N,AODL,11,1,Sant Joan Despí,'15,27045.55
Barcelonès,N,PRMI,13,13,Sant Adrià de Besòs,'15,88988.64
Barcelonès,N,PRMI,13,27,"Hospitalet de Llobregat, l'",'15,215693.28
Barcelonès,N,CC,13,68,Barcelona,'15,120574.88
Barcelonès,N,AODL,13,7,Santa Coloma de Gramenet,'15,188777.94
Baix Llobregat,N,FOQ,11,105,Sant Feliu de Llobregat,'15,249784.5
Baix Llobregat,N,PRMI,11,7,Sant Joan Despí,'15,55710.48
Baix Llobregat,N,APRE,11,40,Viladecans,'15,6260.26
Baix Llobregat,N,TRFO,11,8,Olesa de Montserrat,'15,69429.12000000001
Baix Llobregat,S,XIMP,11,1,Sant Boi de Llobregat,'15,32000
Barcelonès,S,XIMP,13,1,Santa Coloma de Gramenet,'15,32000
Baix Llobregat,N,PRMI,11,11,"Prat de Llobregat, el",'15,90850.32
Baix Llobregat,N,PRMI,11,12,Castelldefels,'15,98688.48
Vallès Occidental,N,ARIF,40,150,Sabadell,'15,74800
Vallès Occidental,N,TRFO,40,6,Badia del Vallès,'15,52214.4
Barcelonès,N,UNIS,13,7008,Barcelona,'15,924967.23
Vallès Occidental,N,SAC,40,180,Cerdanyola del Vallès,'15,79552.8
Vallès Occidental,N,UNIS,40,2633,Cerdanyola del Vallès,'15,291165.63
Barcelonès,S,XIMP,13,5,Barcelona,'15,160000
Barcelonès,N,FOQ,13,252,Badalona,'15,675634.8
Barcelonès,N,ARIF,13,150,Badalona,'15,74800
Vallès Oriental,N,TRFO,41,5,"Franqueses del Vallès, les",'15,43173.3
Vallès Occidental,N,IPIS,40,200,Montcada i Reixac,'15,66042.09
Vallès Occidental,N,TRFO,40,31,Rubí,'15,275659.48000000004
Vallès Occidental,N,TB,40,849,Sabadell,'15,1867625.34
Barcelonès,S,SUMA,13,26,Badalona,'15,115700
Baix Llobregat,N,TRFO,11,4,Vallirana,'15,35916.48
Baix Llobregat,S,ARIF,11,150,"Prat de Llobregat, el",'15,74800
Baix Llobregat,N,SAC,11,900,Cornellà de Llobregat,'15,397764
Vallès Occidental,N,FVIA,40,110,Terrassa,'15,11100
Vallès Occidental,S,PSGJ,40,8,Cerdanyola del Vallès,'15,104923
Baix Llobregat,S,PFI,11,16,Sant Boi de Llobregat,'15,51080
Baix Llobregat,S,SUMA,11,15,Castelldefels,'15,69450
Vallès Occidental,S,XIMP,40,1,Rubí,'15,31948.56
Vallès Oriental,N,FOQ,41,45,Caldes de Montbui,'15,70537.5
Baix Llobregat,N,FOQ,11,165,Martorell,'15,415737
Baix Llobregat,S,SUMA,11,45,Gavà,'15,176400
Baix Llobregat,S,PFI,11,48,Cornellà de Llobregat,'15,164828
Vallès Occidental,N,TB,40,5,Sant Cugat del Vallès,'15,40995.6
Baix Llobregat,N,TRFO,11,11,Sant Vicenç dels Horts,'15,95465.04
Baix Llobregat,N,FOQ,11,15,Sant Andreu de la Barca,'15,61578
Vallès Occidental,N,FVIA,40,60,Barberà del Vallès,'15,3600
Vallès Occidental,N,IPIS,40,200,Badia del Vallès,'15,66042.09
Baix Llobregat,S,SUMA,11,40,Sant Joan Despí,'15,176075
Vallès Occidental,S,SUMA,40,18,Cerdanyola del Vallès,'15,81720
Baix Llobregat,N,AODL,11,3,Sant Boi de Llobregat,'15,81136.65000000001
Barcelonès,N,SAC,13,680,"Hospitalet de Llobregat, l'",'15,304974
Baix Llobregat,S,PFI,11,32,Castelldefels,'15,95038
Vallès Oriental,S,ARIF,41,150,Granollers,'15,74800
Vallès Occidental,N,AODL,40,3,Rubí,'15,81136.65000000001
Vallès Occidental,N,SAC,40,255,Barberà del Vallès,'15,112699.8
Baix Llobregat,N,AODL,11,1,Sant Andreu de la Barca,'15,27045.55
Vallès Occidental,N,DAM,40,30,Viladecavalls,'15,87630
Baix Llobregat,N,SAC,11,355,Esplugues de Llobregat,'15,156895.8
Vallès Occidental,S,PIGJ,40,140,Cerdanyola del Vallès,'15,91071.68000000001
Baix Llobregat,N,FOQ,11,207,Sant Boi de Llobregat,'15,447525.48000000004
Vallès Occidental,N,TB,40,268,Terrassa,'15,882031.55
Vallès Occidental,N,FOQ,40,30,Castellar del Vallès,'15,84519
Vallès Oriental,N,TB,41,2,Martorelles,'15,21548.58
Baix Llobregat,N,TRFO,11,39,Sant Feliu de Llobregat,'15,344855.62
Baix Llobregat,N,FPOT,11,106,Sant Just Desvern,'15,22213.86
Vallès Oriental,N,TRFO,41,4,Lliçà d'Amunt,'15,35493
Baix Llobregat,S,NOGJ,11,270,Cornellà de Llobregat,'15,3182097.5
Baix Llobregat,S,SUMA,11,24,Viladecans,'15,101760
Vallès Oriental,S,PIGJ,41,60,Granollers,'15,144375
Barcelonès,N,MINA,13,1222,Sant Adrià de Besòs,'15,291514.32
Barcelonès,N,TRFO,13,85,"Hospitalet de Llobregat, l'",'15,741799.6699999999
Vallès Occidental,S,SUMA,40,6,Sentmenat,'15,21403.8
Vallès Oriental,N,TB,41,205,Mollet del Vallès,'15,129059.84
Barcelonès,S,ARIF,13,150,"Hospitalet de Llobregat, l'",'15,74800
Baix Llobregat,N,TB,11,647,Sant Feliu de Llobregat,'15,467393.22000000003
Vallès Oriental,N,TRFO,41,5,Parets del Vallès,'15,43392.9
Baix Llobregat,N,PIN,11,20,Sant Boi de Llobregat,'15,135480
Vallès Oriental,N,TB,41,267,Montornès del Vallès,'15,294445.68
Barcelonès,S,TICI,13,2123,Barcelona,'15,1737337.26
Vallès Occidental,S,FEM,40,33,Montcada i Reixac,'15,145200
Vallès Oriental,N,FI45,41,1,Santa Eulàlia de Ronçana,'15,3000
Baix Llobregat,N,APRE,11,40,"Prat de Llobregat, el",'15,6260.26
Vallès Occidental,S,TICI,40,120,Sabadell,'15,66904.31
Vallès Occidental,N,TRFO,40,10,Barberà del Vallès,'15,89790.6
Baix Llobregat,N,FOQ,11,30,Abrera,'15,85650
Vallès Occidental,N,FPOS,40,115,Sabadell,'15,41814.8
Vallès Occidental,S,PFI,40,32,Terrassa,'15,84255
Vallès Oriental,N,TRFO,41,55,Granollers,'15,497383.94
Baix Llobregat,S,FEM,11,15,Sant Boi de Llobregat,'15,66000
Baix Llobregat,N,PRMI,11,5,Molins de Rei,'15,40505.52
Vallès Oriental,S,TICI,41,74,Granollers,'15,107744.73999999999
Baix Llobregat,S,SUMA,11,6,Gavà,'15,17512.2
Baix Llobregat,N,TRFO,11,13,Gavà,'15,112822.32
Vallès Oriental,N,TB,41,6,Sant Feliu de Codines,'15,32321.52
Baix Llobregat,N,FOQ,11,15,Sant Vicenç dels Horts,'15,38829
Vallès Oriental,S,NOGJ,41,270,Mollet del Vallès,'15,3111600
Barcelonès,S,PIGJ,13,60,"Hospitalet de Llobregat, l'",'15,268596.75
Vallès Occidental,N,PRMI,40,36,Sabadell,'15,294124.32
Baix Llobregat,N,CC,11,10,Cornellà de Llobregat,'15,31751
Vallès Occidental,N,FPOS,40,143,Cerdanyola del Vallès,'15,40400.78999999999
Barcelonès,N,FPOT,13,1098,"Hospitalet de Llobregat, l'",'15,308271.06
Baix Llobregat,N,FOQ,11,255,Sant Just Desvern,'15,760882.5
Baix Llobregat,N,IPIS,11,200,Sant Boi de Llobregat,'15,66042.09
Barcelonès,N,IPIS,13,800,Badalona,'15,264168.36
Vallès Occidental,S,SUMA,40,19,Terrassa,'15,52763.61
Baix Llobregat,N,FPOT,11,14,Gavà,'15,6573.929999999999
Baix Llobregat,N,PRMI,11,7,Martorell,'15,57260.52
Barcelonès,N,TB,13,390,"Hospitalet de Llobregat, l'",'15,812724.4
Barcelonès,S,PFI,13,64,Badalona,'15,209132
Barcelonès,N,TRFO,13,14,Sant Adrià de Besòs,'15,123333.84
Vallès Oriental,N,TRFO,41,5,"Llagosta, la",'15,43994.159999999996
Vallès Oriental,N,PRMI,41,44,Granollers,'15,359427
Barcelonès,S,SUMA,13,3,Sant Adrià de Besòs,'15,6323.85
Vallès Oriental,N,TRFO,41,5,Cardedeu,'15,43878.24
Vallès Occidental,N,TB,40,66,Rubí,'15,147886.57
Barcelonès,N,FPOT,13,56,Santa Coloma de Gramenet,'15,16930.56
Barcelonès,S,PSGJ,13,35,"Hospitalet de Llobregat, l'",'15,98192.48
Barcelonès,N,FPOS,13,577,"Hospitalet de Llobregat, l'",'15,267615.1
Baix Llobregat,S,FEM,11,15,Castelldefels,'15,66000
