Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Baix Llobregat,N,AODL,11,9,Sant Feliu de Llobregat,'17,243409.94999999998
Vallès Oriental,N,FEM,41,10,Lliçà d'Amunt,'17,26901.2
Vallès Occidental,N,FEM,40,7,Matadepera,'17,20835.36
Vallès Oriental,N,DONA,41,1,Parets del Vallès,'17,19523.5
Baix Llobregat,N,DONA,11,4,Viladecans,'17,76872.4
Vallès Oriental,N,TRFO,41,6,"Franqueses del Vallès, les",'17,68408.6
Baix Llobregat,N,UBIC,11,47,Sant Joan Despí,'17,20905.6
Barcelonès,S,XIMP,13,2,Badalona,'17,40000
Baix Llobregat,N,FOQ,11,105,Sant Feliu de Llobregat,'17,277873.5
Vallès Occidental,S,FEM,40,30,Rubí,'17,132000
Vallès Occidental,N,CCFI,40,15,Sabadell,'17,53902.5
Vallès Oriental,N,TRFO,41,65,Granollers,'17,831887.9
Baix Llobregat,N,AODL,11,2,Esplugues de Llobregat,'17,54091.1
Baix Llobregat,S,SUMA,11,1,Sant Andreu de la Barca,'17,3931.2
Vallès Occidental,S,FEM,40,40,Montcada i Reixac,'17,176000
Vallès Occidental,N,COOR,40,1,Rubí,'17,28000
Vallès Occidental,S,SUMA,40,2,Santa Perpètua de Mogoda,'17,7862.4
Baix Llobregat,N,FOQ,11,90,Pallejà,'17,131659.5
Barcelonès,N,FPOT,13,50615,Barcelona,'17,15786930
Vallès Occidental,N,APRE,40,56,Sabadell,'17,10523.16
Vallès Occidental,S,JENP,40,6,Badia del Vallès,'17,66000
Vallès Oriental,N,PI30,41,50,Parets del Vallès,'17,135639.65
Vallès Oriental,S,SUMA,41,3,Sant Fost de Campsentelles,'17,9828
Baix Llobregat,N,ENFE,11,6,Esplugues de Llobregat,'17,124539.07
Vallès Occidental,N,UBIC,40,175,Rubí,'17,77840
Barcelonès,N,FPOS,13,32292,Barcelona,'17,10618738
Baix Llobregat,N,SAC,11,20,Sant Andreu de la Barca,'17,9500
Baix Llobregat,N,FPOT,11,667,"Prat de Llobregat, el",'17,111992
Vallès Oriental,N,TB,41,221,Mollet del Vallès,'17,332975.71
Vallès Occidental,S,JENP,40,1,Sant Quirze del Vallès,'17,11000
Vallès Occidental,S,PIGJ,40,15,Montcada i Reixac,'17,69822.5
Baix Llobregat,S,SUMA,11,1,"Papiol, el",'17,3931.2
Barcelonès,N,REEM,13,10,Badalona,'17,2496.48
Barcelonès,N,30P,13,60,"Hospitalet de Llobregat, l'",'17,264000
Vallès Oriental,S,JENP,41,4,Montornès del Vallès,'17,44000
Vallès Oriental,N,SAC,41,120,Granollers,'17,57000
Baix Llobregat,N,CIF,11,281,Sant Feliu de Llobregat,'17,368159.43000000005
Vallès Oriental,N,TB,41,6,Sant Feliu de Codines,'17,32142.960000000003
Vallès Occidental,N,DONA,40,1,Badia del Vallès,'17,19460.7
Vallès Occidental,N,FOQ,40,1223,Terrassa,'17,2356468.44
Barcelonès,N,TB,13,632,Badalona,'17,954790.07
Baix Llobregat,N,FEM,11,2,Sant Esteve Sesrovires,'17,3095.82
Vallès Occidental,N,AODL,40,13,Terrassa,'17,351592.14999999997
Vallès Occidental,N,30P,40,2,Barberà del Vallès,'17,5416.320000000001
Baix Llobregat,N,30P,11,2,Sant Just Desvern,'17,7000.98
Vallès Oriental,N,ENFE,41,9,Mollet del Vallès,'17,202335.6
Barcelonès,N,AODL,13,11,"Hospitalet de Llobregat, l'",'17,297501.05
Barcelonès,N,PRMI,13,9,Sant Adrià de Besòs,'17,97368.5
Vallès Occidental,N,PRMI,40,5,Sant Cugat del Vallès,'17,56730
Vallès Oriental,N,FPOT,41,126,Mollet del Vallès,'17,33520
Barcelonès,N,UBIC,13,300,Santa Coloma de Gramenet,'17,131640
Barcelonès,N,PIN,13,15,"Hospitalet de Llobregat, l'",'17,108428.45
Vallès Oriental,N,DONA,41,1,Canovelles,'17,19233.4
Baix Llobregat,N,AODL,11,3,Gavà,'17,81136.65000000001
Baix Llobregat,S,XIMP,11,1,Gavà,'17,32000
Baix Llobregat,N,FI45,11,1,Cornellà de Llobregat,'17,10800
Barcelonès,N,DONA,13,2,Sant Adrià de Besòs,'17,38436.2
Baix Llobregat,N,PIN,11,200,Castelldefels,'17,66901.63
Baix Llobregat,S,SUMA,11,2,Sant Feliu de Llobregat,'17,6289.92
Vallès Oriental,N,TB,41,4,Caldes de Montbui,'17,54811.44
Baix Llobregat,S,JENP,11,6,Sant Feliu de Llobregat,'17,66000
Baix Llobregat,S,DPGJ,11,298,Cornellà de Llobregat,'17,41190.5
Barcelonès,N,TRFO,13,170,Barcelona,'17,2176783.4
Baix Llobregat,N,PRMI,11,7,Olesa de Montserrat,'17,79315.6
Baix Llobregat,N,AODL,11,1,Vallirana,'17,27045.55
Vallès Occidental,N,AODL,40,1,Castellar del Vallès,'17,27045.55
Vallès Occidental,N,DONA,40,2,Santa Perpètua de Mogoda,'17,39047
Vallès Occidental,N,FEM,40,73,Terrassa,'17,172543.54
Barcelonès,N,IPIS,13,2375,Barcelona,'17,1160827.99
Baix Llobregat,N,30P,11,19,Sant Boi de Llobregat,'17,64983.36
Vallès Occidental,S,JENP,40,14,Sabadell,'17,154000
Vallès Occidental,N,SAC,40,52,Barberà del Vallès,'17,24700
Baix Llobregat,N,UBIC,11,98,Castelldefels,'17,43590.4
Baix Llobregat,N,AODL,11,5,Viladecans,'17,135227.75
Vallès Occidental,S,PIGJ,40,15,Ripollet,'17,70393.75
Vallès Occidental,N,SAC,40,32,Sant Cugat del Vallès,'17,15200
Vallès Occidental,N,COOR,40,3,Sabadell,'17,84000
Vallès Oriental,S,SUMA,41,1,Santa Eulàlia de Ronçana,'17,2948.4
Barcelonès,S,XIMP,13,2,"Hospitalet de Llobregat, l'",'17,37333.33
Vallès Oriental,S,JENP,41,1,Bigues i Riells,'17,11000
Baix Llobregat,N,REEM,11,25,Martorell,'17,6241.2
Vallès Occidental,N,FEM,40,34,Sabadell,'17,102824.25
Baix Llobregat,N,TRFO,11,20,Viladecans,'17,243662
Vallès Oriental,N,30P,41,1,Tagamanent,'17,294.84000000000003
Vallès Occidental,S,SUMA,40,1,Sant Quirze del Vallès,'17,3931.2
Baix Llobregat,N,TB,11,227,Sant Boi de Llobregat,'17,836590.13
Barcelonès,S,PIGJ,13,83,Badalona,'17,348977.61
Barcelonès,N,PRMI,13,50,Badalona,'17,589879.3
Baix Llobregat,N,REEM,11,5,Sant Vicenç dels Horts,'17,1248.24
Vallès Occidental,N,REEM,40,10,Sant Cugat del Vallès,'17,2496.48
Vallès Oriental,N,FEM,41,2,"Franqueses del Vallès, les",'17,4504.5
Baix Llobregat,N,SAC,11,48,Viladecans,'17,22800
Barcelonès,S,SUMA,13,1,Sant Adrià de Besòs,'17,1985.45
Vallès Occidental,N,FOQ,40,45,Castellar del Vallès,'17,95662.5
Vallès Occidental,N,DONA,40,2,Barberà del Vallès,'17,38765
Barcelonès,S,TLN,13,25,Badalona,'17,339460
Vallès Occidental,N,PI30,40,50,Barberà del Vallès,'17,97621.59
Barcelonès,S,XIMP,13,14,Barcelona,'17,304000
Vallès Oriental,N,AODL,41,1,Canovelles,'17,27045.55
Vallès Oriental,S,JENP,41,1,"Llagosta, la",'17,11000
Baix Llobregat,N,AODL,11,2,Sant Joan Despí,'17,54091.1
Vallès Occidental,N,30P,40,1,Ripollet,'17,5547.41
Barcelonès,S,JENP,13,11,Santa Coloma de Gramenet,'17,121000
Barcelonès,N,FOQ,13,5214,Barcelona,'17,11993961.18
Vallès Occidental,N,REEM,40,15,Cerdanyola del Vallès,'17,3744.72
Barcelonès,N,CIF,13,127,Barcelona,'17,195524.83
Vallès Occidental,N,AODL,40,1,Ripollet,'17,27045.55
Baix Llobregat,N,UBIC,11,39,Sant Vicenç dels Horts,'17,16723.2
Vallès Occidental,N,IPIS,40,375,Terrassa,'17,183288.63
Vallès Oriental,S,PIGJ,41,30,Mollet del Vallès,'17,159332.91
Vallès Oriental,N,30P,41,38,Granollers,'17,159707.5
Vallès Occidental,N,ENFE,40,9,Cerdanyola del Vallès,'17,238757.76
Vallès Occidental,S,JENP,40,23,Terrassa,'17,253000
Baix Llobregat,N,TB,11,7,Gavà,'17,66669.1
Vallès Occidental,S,SUMA,40,2,Cerdanyola del Vallès,'17,4422.6
Vallès Occidental,N,PIN,40,40,Sant Cugat del Vallès,'17,109161.32
