municipio;perc_abst;1rpartit;2npartit;Nom comarca;PSC.perc;Poblacio
Les Franqueses del Vallès;50.71;PSC;ERC;Vallès Oriental;24.80508229858504;20364
Gallifa;22.52;JxCat;ERC;Vallès Occidental;8.547008547008547;167
La Garriga;39.72;JxCat;ERC;Vallès Oriental;14.608413363992966;16668
Gavà;50.79;PSC;ERC;Baix Llobregat;33.502201314757855;47057
Gaià;26.81;JxCat;ERC;Bages;5.1020408163265305;183
Gelida;45.03;ERC;PSC;Alt Penedès;21.859380206597802;7670
Gironella;41.2;JxCat;ERC;Berguedà;9.700093720712278;4946
Gisclareny;16;JxCat;ERC;Berguedà;0;26
La Granada;37.58;ERC;JxCat;Alt Penedès;13.645418326693227;2208
Granera;28;JxCat;ERC;Moianès;7.4074074074074066;77
Granollers;45.06;PSC;ERC;Vallès Oriental;26.101353900322756;62419
Gualba;35.15;JxCat;ERC;Vallès Oriental;12.813370473537605;1548
Sant Salvador de Guardiola;43.61;JxCat;ERC;Bages;14.533622559652928;3221
Guardiola de Berguedà;38.71;JxCat;ERC;Berguedà;16.411378555798688;941
Gurb;26.72;JxCat;ERC;Osona;6.432748538011696;2713
L'Hospitalet de Llobregat;52.97;PSC;ERC;Barcelonès;38.946555493016746;269382
Igualada;43.7;JxCat;ERC;Anoia;16.266219656050165;40742
Jorba;41.38;JxCat;ERC;Anoia;10.666666666666668;833
La Llacuna;36.15;JxCat;ERC;Anoia;4.460093896713615;903
La Llagosta;52.03;PSC;ERC;Vallès Oriental;44.666374012291485;13587
Llinars del Vallès;46.54;ERC;JxCat;Vallès Oriental;19.4048512128032;10018
Lliçà d'Amunt;54.09;PSC;ERC;Vallès Oriental;25.684745147832395;15469
Lliçà de Vall;46.18;PSC;ERC;Vallès Oriental;23.869346733668344;6497
Lluçà;21.36;JxCat;ERC;Osona;3.1446540880503147;276
Malgrat de Mar;50.43;PSC;ERC;Maresme;24.844352208716277;18772
Malla;14.09;JxCat;ERC;Osona;6.417112299465241;272
Manlleu;47.41;JxCat;ERC;Osona;14.878376361737052;20912
Manresa;47.18;JxCat;ERC;Bages;15.683378867311525;78245
Martorell;48.58;PSC;ERC;Baix Llobregat;30.129139762549467;28772
Martorelles;50.42;ERC;PSC;Vallès Oriental;24.57264957264957;4820
Les Masies de Roda;31.35;JxCat;ERC;Osona;3.6939313984168867;719
Les Masies de Voltregà;37.07;JxCat;ERC;Osona;13.043478260869565;3132
El Masnou;39.14;ERC;JxCat;Maresme;17.81261805817907;23831
Masquefa;53.55;PSC;ERC;Anoia;24.459335973195248;9402
Matadepera;32.91;JxCat;ERC;Vallès Occidental;7.589193648174882;9496
Mataró;50.1;PSC;ERC;Maresme;24.71829519424327;129661
Mediona;52.26;ERC;JxCat;Alt Penedès;14.779499404052443;2369
Molins de Rei;38.51;ERC;PSC;Baix Llobregat;22.776937300386617;25940
Mollet del Vallès;50;PSC;ERC;Vallès Oriental;33.61161128389807;51600
Montcada i Reixac;51.16;PSC;ERC;Vallès Occidental;31.043113192313903;36803
Montgat;46.3;ERC;PSC;Maresme;22.719594594594593;12200
Monistrol de Montserrat;51.49;ERC;JxCat;Bages;18.24884792626728;3139
Monistrol de Calders;40.37;JxCat;ERC;Moianès;7.1022727272727275;702
Muntanyola;29.56;JxCat;ERC;Osona;5.3977272727272725;632
Montclar;35.51;JxCat;ERC;Berguedà;1.5151515151515151;139
Montesquiu;36.55;JxCat;ERC;Osona;7.675906183368871;1030
Montmajor;43.3;JxCat;ERC;Berguedà;9.230769230769232;469
Montmaneu;33.33;JxCat;ERC;Anoia;4.651162790697675;151
Figaró-Montmany;39.79;ERC;JxCat;Vallès Oriental;14.901960784313726;1142
Montmeló;42.22;PSC;ERC;Vallès Oriental;35.12886597938144;8831
Montornès del Vallès;52.12;PSC;ERC;Vallès Oriental;34.3042071197411;16644
Montseny;30.88;JxCat;ERC;Vallès Oriental;10.416666666666668;351
Moià;43.13;ERC;JxCat;Moianès;11.496492595479344;6383
Mura;21.2;ERC;JxCat;Bages;12.587412587412588;220
Navarcles;45.22;JxCat;ERC;Bages;17.656070471083876;6057
Navàs;41.34;JxCat;ERC;Bages;13.24200913242009;6018
La Nou de Berguedà;21.68;JxCat;CUP-G;Berguedà;11.711711711711711;162
Òdena;45.22;PSC;ERC;Anoia;24.236252545824847;3668
Olvan;36.68;JxCat;ERC;Berguedà;8.2039911308204;858
Olèrdola;38.97;JxCat;ERC;Alt Penedès;18.089552238805968;3768
Olesa de Bonesvalls;43.61;ERC;PSC;Alt Penedès;22.040302267002517;1840
Olesa de Montserrat;48.58;ERC;PSC;Baix Llobregat;23.252142534957148;24144
Olivella;50.1;PSC;ERC;Garraf;22.51876563803169;3935
Olost;41.12;JxCat;ERC;Osona;5.913978494623656;1202
Orís;32.83;JxCat;ERC;Osona;7.55813953488372;322
Oristà;33.18;JxCat;ERC;Osona;6.440677966101695;549
Orpí;26.96;JxCat;ERC;Anoia;4.761904761904762;151
Òrrius;29.17;JxCat;ERC;Maresme;7.451923076923077;758
Pacs del Penedès;36.48;JxCat;ERC;Alt Penedès;13.958810068649885;918
Palafolls;48.5;PSC;ERC;Maresme;24.86218302094818;9613
Palau-solità i Plegamans;45.02;ERC;PSC;Vallès Occidental;21.85203331700147;14892
Pallejà;41.72;PSC;ERC;Baix Llobregat;28.786057692307693;11622
El Papiol;43.32;ERC;PSC;Baix Llobregat;22.109419063733785;4172
Parets del Vallès;47.35;PSC;ERC;Vallès Oriental;28.933189655172413;19071
Perafita;36.17;JxCat;ERC;Osona;3.4482758620689653;405
Piera;57.01;ERC;PSC;Anoia;22;16134
Els Hostalets de Pierola;46.93;ERC;JxCat;Anoia;16.24007060900265;2980
Pineda de Mar;52.18;PSC;ERC;Maresme;26.677958924412447;27984
El Pla del Penedès;35.91;ERC;JxCat;Alt Penedès;10.16949152542373;1275
La Pobla de Claramunt;44.74;JxCat;ERC;Anoia;20.9070796460177;2185
La Pobla de Lillet;41.37;JxCat;ERC;Berguedà;9.778597785977858;1093
Polinyà;51.38;PSC;ERC;Vallès Occidental;32.27350427350427;8504
Pontons;45.29;JxCat;ERC;Alt Penedès;7.317073170731707;528
El Prat de Llobregat;51.88;PSC;ERC;Baix Llobregat;35.847996195581686;65385
Els Prats de Rei;39.28;JxCat;ERC;Anoia;11.96911196911197;537
Prats de Lluçanès;39.57;JxCat;ERC;Osona;5.718954248366013;2604
Premià de Mar;45.75;ERC;PSC;Maresme;21.38518719970991;28531
Puigdàlber;31.02;JxCat;ERC;Alt Penedès;8;524
Puig-reig;43.89;JxCat;ERC;Berguedà;9.45945945945946;4295
Pujalt;28.21;JxCat;ERC;Anoia;4.672897196261682;210
La Quar;42.86;CUP-G;ERC;Berguedà;5;49
Rajadell;29.02;ERC;JxCat;Bages;8.38709677419355;534
Rellinars;43.39;ERC;JxCat;Vallès Occidental;11.924119241192411;809
Ripollet;52.53;PSC;ERC;Vallès Occidental;33.96285312938973;39179
La Roca del Vallès;41.88;PSC;ERC;Vallès Oriental;25.934629352702416;10754
El Pont de Vilomara i Rocafort;53.94;PSC;ERC;Bages;26.939970717423133;3907
