codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres
8018,Balsareny,15178,balsareny,Balsareny,2564,1385,54.02,1179,45.98,JxCat,ERC,PSC,CUP-G,7,Bages,1368,234,351,371,100,114,63,49,21,41,17.105263157894736,25.657894736842106,27.119883040935672,7.309941520467836,8.333333333333332,4.605263157894736,3.5818713450292394,1.5350877192982455,2.997076023391813,80180,3192,1576,1616
8019,Barcelona,20128,barcelona,Barcelona,1099318,627992,57.13,471326,42.87,PSC,ERC,JxCat,ECP-PEC,13,Barcelonès,621192,146370,118491,111021,44393,42977,57078,38688,32897,17665,23.562763203647183,19.074778812347873,17.87225205733493,7.146421718244923,6.918472871511545,9.188463470231426,6.22802611752888,5.295786165951911,2.8437262553284652,80193,1664182,790708,873474
8020,Begues,21148,begues,Begues,5374,3400,63.27,1974,36.73,ERC,JxCat,PSC,CUP-G,11,Baix Llobregat,3376,621,858,732,221,237,232,181,96,122,18.394549763033176,25.41469194312796,21.6824644549763,6.546208530805687,7.020142180094786,6.872037914691943,5.361374407582939,2.843601895734597,3.6137440758293837,80207,7300,3650,3650
8021,Bellprat,.,bellprat,Bellprat,64,41,64.06,23,35.94,JxCat,ERC,CUP-G,PSC,6,Anoia,39,3,10,17,2,4,0,0,0,3,7.6923076923076925,25.64102564102564,43.58974358974359,5.128205128205128,10.256410256410255,0,0,0,7.6923076923076925,80214,64,41,23
8022,Berga,14904,berga,Berga,12176,6464,53.09,5712,46.91,JxCat,ERC,CUP-G,PSC,14,Berguedà,6371,682,1524,2470,168,777,184,105,78,243,10.704755925286454,23.92089153978967,38.76942395228379,2.6369486736776016,12.195887615758908,2.888086642599278,1.648092921048501,1.2242975984931723,3.8141579029979598,80229,16760,8315,8445
8023,Bigues i Riells,16500,bigues i riells,Bigues i Riells,7257,3655,50.37,3602,49.63,ERC,JxCat,PSC,CUP-G,41,Vallès Oriental,3592,624,1019,777,259,259,212,207,101,64,17.37193763919822,28.368596881959913,21.631403118040087,7.210467706013363,7.210467706013363,5.902004454342984,5.762806236080179,2.8118040089086858,1.7817371937639197,80235,9358,4779,4579
8024,Borredà,13039,borredà,Borredà,363,232,63.91,131,36.09,JxCat,ERC,PSC,CUP-G,14,Berguedà,230,25,72,85,5,23,5,3,3,4,10.869565217391305,31.30434782608696,36.95652173913043,2.1739130434782608,10,2.1739130434782608,1.3043478260869565,1.3043478260869565,1.7391304347826086,80240,464,257,207
8025,"Bruc, El",17446,"bruc, el","Bruc, el",1615,884,54.74,731,45.26,ERC,PSC,PDeCAT,JxCat,6,Anoia,871,135,222,107,53,95,60,28,15,131,15.49942594718714,25.487944890929963,12.284730195177957,6.084959816303099,10.907003444316878,6.8886337543053955,3.214695752009185,1.7221584385763489,15.040183696900113,80253,2110,1128,982
8026,"Brull, El",20073,"brull, el","Brull, el",201,152,75.62,49,24.38,JxCat,ERC,CUP-G,PDeCAT,24,Osona,152,4,33,72,7,19,2,2,2,9,2.631578947368421,21.710526315789476,47.368421052631575,4.605263157894736,12.5,1.3157894736842104,1.3157894736842104,1.3157894736842104,5.921052631578947,80266,258,142,116
8027,"Cabanyes, Les",17553,"cabanyes, les","Cabanyes, les",745,497,66.71,248,33.29,JxCat,ERC,PSC,CUP-G,3,Alt Penedès,489,65,109,161,26,52,19,11,10,21,13.29243353783231,22.290388548057262,32.92433537832311,5.316973415132924,10.633946830265849,3.885480572597137,2.2494887525562373,2.044989775051125,4.294478527607362,80272,979,499,480
